treatment,id,game,period,choice,other.choice
D5R32,7,69,4,d,d
D5R32,8,62,1,d,d
D5R32,8,63,1,d,d
D5R32,8,63,2,d,c
D5R32,8,63,3,c,d
D5R32,8,64,1,d,d
D5R32,8,64,2,d,d
D5R32,8,64,3,d,d
D5R32,8,64,4,d,d
D5R32,8,64,5,d,d
D5R32,8,64,6,d,d
D5R32,8,64,7,d,d
D5R32,8,64,8,d,d
D5R32,8,64,9,d,d
D5R32,8,65,1,d,d
D5R32,8,66,1,d,c
D5R32,8,66,2,c,d
D5R32,8,66,3,d,c
D5R32,8,66,4,c,c
D5R32,8,66,5,c,c
D5R32,8,67,1,d,d
D5R32,8,68,1,d,c
D5R32,8,69,1,d,d
D5R32,8,69,2,d,d
D5R32,8,69,3,d,d
D5R32,8,69,4,d,d
D5R32,9,62,1,d,c
D5R32,9,63,1,d,d
D5R32,9,63,2,d,d
D5R32,9,63,3,d,d
D5R32,9,64,1,d,d
D5R32,9,64,2,d,d
D5R32,9,64,3,d,d
D5R32,9,64,4,d,d
D5R32,9,64,5,d,d
D5R32,9,64,6,d,d
D5R32,9,64,7,d,d
D5R32,9,64,8,d,d
D5R32,9,64,9,d,d
D5R32,9,65,1,d,d
D5R32,9,66,1,d,d
D5R32,9,66,2,d,d
D5R32,9,66,3,d,d
D5R32,9,66,4,d,d
D5R32,9,66,5,d,d
D5R32,9,67,1,d,c
D5R32,9,68,1,d,d
D5R32,9,69,1,d,c
D5R32,9,69,2,d,d
D5R32,9,69,3,d,d
D5R32,9,69,4,d,d
D5R32,10,62,1,d,d
D5R32,10,63,1,d,d
D5R32,10,63,2,d,d
D5R32,10,63,3,d,d
D5R32,10,64,1,d,c
D5R32,10,64,2,d,d
D5R32,10,64,3,d,d
D5R32,10,64,4,d,d
D5R32,10,64,5,d,d
D5R32,10,64,6,d,d
D5R32,10,64,7,d,d
D5R32,10,64,8,d,c
D5R32,10,64,9,d,c
D5R32,10,65,1,d,d
D5R32,10,66,1,d,d
D5R32,10,66,2,d,d
D5R32,10,66,3,d,d
D5R32,10,66,4,d,d
D5R32,10,66,5,d,d
D5R32,10,67,1,d,d
D5R32,10,68,1,d,d
D5R32,10,69,1,d,d
D5R32,10,69,2,d,d
D5R32,10,69,3,d,d
D5R32,10,69,4,d,d
D5R32,11,62,1,c,d
D5R32,11,63,1,c,d
D5R32,11,63,2,d,c
D5R32,11,63,3,c,c
D5R32,11,64,1,c,d
D5R32,11,64,2,d,d
D5R32,11,64,3,d,d
D5R32,11,64,4,d,d
D5R32,11,64,5,d,d
D5R32,11,64,6,d,d
D5R32,11,64,7,d,d
D5R32,11,64,8,d,d
D5R32,11,64,9,d,d
D5R32,11,65,1,c,d
D5R32,11,66,1,c,d
D5R32,11,66,2,d,c
D5R32,11,66,3,c,d
D5R32,11,66,4,c,c
D5R32,11,66,5,c,c
D5R32,11,67,1,d,d
D5R32,11,68,1,d,d
D5R32,11,69,1,d,d
D5R32,11,69,2,d,d
D5R32,11,69,3,c,d
D5R32,11,69,4,d,d
D5R32,12,62,1,d,d
D5R32,12,63,1,d,c
D5R32,12,63,2,c,d
D5R32,12,63,3,c,c
D5R32,12,64,1,c,d
D5R32,12,64,2,d,d
D5R32,12,64,3,d,d
D5R32,12,64,4,d,d
D5R32,12,64,5,d,d
D5R32,12,64,6,d,d
D5R32,12,64,7,d,d
D5R32,12,64,8,c,d
D5R32,12,64,9,c,d
D5R32,12,65,1,c,d
D5R32,12,66,1,d,d
D5R32,12,66,2,d,d
D5R32,12,66,3,d,d
D5R32,12,66,4,d,d
D5R32,12,66,5,d,d
D5R32,12,67,1,c,d
D5R32,12,68,1,c,d
D5R32,12,69,1,d,d
D5R32,12,69,2,d,d
D5R32,12,69,3,d,d
D5R32,12,69,4,d,d
D5R32,13,62,1,d,d
D5R32,13,63,1,d,d
D5R32,13,63,2,d,d
D5R32,13,63,3,d,d
D5R32,13,64,1,d,c
D5R32,13,64,2,d,d
D5R32,13,64,3,d,d
D5R32,13,64,4,d,d
D5R32,13,64,5,d,d
D5R32,13,64,6,d,d
D5R32,13,64,7,d,d
D5R32,13,64,8,d,d
D5R32,13,64,9,d,d
D5R32,13,65,1,d,d
D5R32,13,66,1,d,d
D5R32,13,66,2,d,d
D5R32,13,66,3,d,d
D5R32,13,66,4,d,d
D5R32,13,66,5,d,d
D5R32,13,67,1,d,d
D5R32,13,68,1,d,c
D5R32,13,69,1,d,d
D5R32,13,69,2,d,d
D5R32,13,69,3,d,d
D5R32,13,69,4,d,d
D5R32,14,62,1,c,d
D5R32,14,63,1,c,d
D5R32,14,63,2,d,d
D5R32,14,63,3,d,d
D5R32,14,64,1,c,d
D5R32,14,64,2,d,d
D5R32,14,64,3,d,d
D5R32,14,64,4,d,d
D5R32,14,64,5,d,d
D5R32,14,64,6,d,d
D5R32,14,64,7,d,d
D5R32,14,64,8,d,d
D5R32,14,64,9,d,d
D5R32,14,65,1,c,d
D5R32,14,66,1,c,d
D5R32,14,66,2,d,c
D5R32,14,66,3,c,d
D5R32,14,66,4,c,c
D5R32,14,66,5,c,c
D5R32,14,67,1,c,d
D5R32,14,68,1,c,d
D5R32,14,69,1,c,d
D5R32,14,69,2,d,d
D5R32,14,69,3,d,d
D5R32,14,69,4,d,d
D5R32,15,62,1,d,d
D5R32,15,63,1,d,d
D5R32,15,63,2,d,c
D5R32,15,63,3,c,d
D5R32,15,64,1,d,d
D5R32,15,64,2,d,d
D5R32,15,64,3,d,c
D5R32,15,64,4,c,d
D5R32,15,64,5,d,c
D5R32,15,64,6,c,c
D5R32,15,64,7,c,c
D5R32,15,64,8,c,c
D5R32,15,64,9,c,c
D5R32,15,65,1,d,c
D5R32,15,66,1,d,c
D5R32,15,66,2,c,d
D5R32,15,66,3,d,c
D5R32,15,66,4,c,c
D5R32,15,66,5,c,c
D5R32,15,67,1,d,d
D5R32,15,68,1,d,d
D5R32,15,69,1,d,d
D5R32,15,69,2,d,c
D5R32,15,69,3,c,d
D5R32,15,69,4,d,c
D5R32,16,62,1,d,d
D5R32,16,63,1,d,d
D5R32,16,63,2,d,d
D5R32,16,63,3,d,d
D5R32,16,64,1,d,d
D5R32,16,64,2,d,d
D5R32,16,64,3,d,d
D5R32,16,64,4,d,d
D5R32,16,64,5,d,d
D5R32,16,64,6,d,d
D5R32,16,64,7,d,d
D5R32,16,64,8,d,d
D5R32,16,64,9,d,d
D5R32,16,65,1,d,c
D5R32,16,66,1,d,d
D5R32,16,66,2,d,d
D5R32,16,66,3,d,d
D5R32,16,66,4,d,d
D5R32,16,66,5,d,d
D5R32,16,67,1,d,d
D5R32,16,68,1,d,d
D5R32,16,69,1,d,d
D5R32,16,69,2,d,d
D5R32,16,69,3,d,c
D5R32,16,69,4,d,d
D5R32,17,59,1,d,d
D5R32,17,59,2,d,d
D5R32,17,60,1,d,d
D5R32,17,61,1,d,d
D5R32,17,61,2,d,d
D5R32,17,62,1,d,d
D5R32,17,63,1,d,d
D5R32,17,64,1,d,d
D5R32,17,64,2,d,d
D5R32,17,64,3,d,d
D5R32,17,64,4,d,d
D5R32,17,64,5,d,d
D5R32,17,65,1,d,d
D5R32,17,66,1,d,d
D5R32,17,67,1,d,d
D5R32,17,67,2,d,d
D5R32,17,68,1,d,d
D5R32,17,69,1,d,d
D5R32,17,69,2,d,d
D5R32,17,70,1,d,d
D5R32,17,70,2,d,d
D5R32,17,70,3,d,d
D5R32,17,71,1,d,d
D5R32,17,71,2,d,d
D5R32,18,59,1,d,d
D5R32,18,59,2,d,d
D5R32,18,60,1,d,d
D5R32,18,61,1,d,d
D5R32,18,61,2,d,d
D5R32,18,62,1,d,d
D5R32,18,63,1,d,d
D5R32,18,64,1,d,d
D5R32,18,64,2,d,d
D5R32,18,64,3,d,d
D5R32,18,64,4,d,d
D5R32,18,64,5,d,d
D5R32,18,65,1,d,c
D5R32,18,66,1,d,d
D5R32,18,67,1,d,d
D5R32,18,67,2,d,d
D5R32,18,68,1,d,d
D5R32,18,69,1,d,d
D5R32,18,69,2,d,d
D5R32,18,70,1,d,d
D5R32,18,70,2,d,d
D5R32,18,70,3,d,d
D5R32,18,71,1,d,d
D5R32,18,71,2,d,d
D5R32,19,59,1,d,d
D5R32,19,59,2,d,d
D5R32,19,60,1,d,d
D5R32,19,61,1,d,d
D5R32,19,61,2,d,d
D5R32,19,62,1,d,d
D5R32,19,63,1,d,d
D5R32,19,64,1,d,d
D5R32,19,64,2,d,d
D5R32,19,64,3,d,d
D5R32,19,64,4,d,d
D5R32,19,64,5,d,d
D5R32,19,65,1,d,d
D5R32,19,66,1,d,d
D5R32,19,67,1,d,d
D5R32,19,67,2,d,d
D5R32,19,68,1,d,d
D5R32,19,69,1,d,d
D5R32,19,69,2,d,d
D5R32,19,70,1,d,d
D5R32,19,70,2,d,d
D5R32,19,70,3,d,d
D5R32,19,71,1,d,d
D5R32,19,71,2,d,d
D5R32,20,59,1,d,d
D5R32,20,59,2,d,d
D5R32,20,60,1,d,d
D5R32,20,61,1,d,d
D5R32,20,61,2,d,d
D5R32,20,62,1,d,d
D5R32,20,63,1,d,d
D5R32,20,64,1,d,d
D5R32,20,64,2,d,d
D5R32,20,64,3,d,d
D5R32,20,64,4,d,d
D5R32,20,64,5,d,d
D5R32,20,65,1,d,d
D5R32,20,66,1,d,d
D5R32,20,67,1,d,d
D5R32,20,67,2,d,d
D5R32,20,68,1,d,d
D5R32,20,69,1,d,d
D5R32,20,69,2,d,d
D5R32,20,70,1,d,d
D5R32,20,70,2,d,d
D5R32,20,70,3,d,d
D5R32,20,71,1,d,d
D5R32,20,71,2,d,d
D5R32,21,59,1,d,d
D5R32,21,59,2,d,d
D5R32,21,60,1,d,d
D5R32,21,61,1,d,d
D5R32,21,61,2,d,d
D5R32,21,62,1,d,d
D5R32,21,63,1,d,d
D5R32,21,64,1,d,d
D5R32,21,64,2,d,d
D5R32,21,64,3,d,d
D5R32,21,64,4,d,d
D5R32,21,64,5,d,d
D5R32,21,65,1,d,d
D5R32,21,66,1,d,d
D5R32,21,67,1,d,d
D5R32,21,67,2,d,d
D5R32,21,68,1,d,d
D5R32,21,69,1,d,d
D5R32,21,69,2,d,d
D5R32,21,70,1,d,d
D5R32,21,70,2,d,d
D5R32,21,70,3,d,d
D5R32,21,71,1,d,d
D5R32,21,71,2,d,d
D5R32,22,59,1,d,d
D5R32,22,59,2,d,d
D5R32,22,60,1,d,d
D5R32,22,61,1,d,d
D5R32,22,61,2,d,d
D5R32,22,62,1,d,d
D5R32,22,63,1,d,d
D5R32,22,64,1,d,d
D5R32,22,64,2,d,d
D5R32,22,64,3,d,d
D5R32,22,64,4,d,d
D5R32,22,64,5,d,d
D5R32,22,65,1,c,d
D5R32,22,66,1,d,d
D5R32,22,67,1,d,d
D5R32,22,67,2,d,d
D5R32,22,68,1,d,d
D5R32,22,69,1,d,d
D5R32,22,69,2,d,d
D5R32,22,70,1,d,d
D5R32,22,70,2,d,d
D5R32,22,70,3,d,d
D5R32,22,71,1,d,d
D5R32,22,71,2,d,d
D5R32,23,59,1,d,d
D5R32,23,59,2,d,d
D5R32,23,60,1,d,d
D5R32,23,61,1,d,d
D5R32,23,61,2,d,d
D5R32,23,62,1,d,d
D5R32,23,63,1,d,d
D5R32,23,64,1,d,d
D5R32,23,64,2,d,d
D5R32,23,64,3,d,d
D5R32,23,64,4,d,d
D5R32,23,64,5,d,d
D5R32,23,65,1,d,d
D5R32,23,66,1,d,d
D5R32,23,67,1,d,d
D5R32,23,67,2,d,d
D5R32,23,68,1,d,d
D5R32,23,69,1,d,d
D5R32,23,69,2,d,d
D5R32,23,70,1,d,d
D5R32,23,70,2,d,d
D5R32,23,70,3,d,d
D5R32,23,71,1,d,d
D5R32,23,71,2,d,d
D5R32,24,59,1,d,d
D5R32,24,59,2,d,d
D5R32,24,60,1,d,d
D5R32,24,61,1,d,d
D5R32,24,61,2,d,d
D5R32,24,62,1,d,d
D5R32,24,63,1,d,d
D5R32,24,64,1,d,d
D5R32,24,64,2,d,d
D5R32,24,64,3,d,d
D5R32,24,64,4,d,d
D5R32,24,64,5,d,d
D5R32,24,65,1,d,d
D5R32,24,66,1,d,d
D5R32,24,67,1,d,d
D5R32,24,67,2,d,d
D5R32,24,68,1,d,d
D5R32,24,69,1,d,d
D5R32,24,69,2,d,d
D5R32,24,70,1,d,d
D5R32,24,70,2,d,d
D5R32,24,70,3,d,d
D5R32,24,71,1,d,d
D5R32,24,71,2,d,d
D5R32,25,59,1,d,d
D5R32,25,59,2,d,d
D5R32,25,60,1,d,d
D5R32,25,61,1,d,c
D5R32,25,61,2,d,d
D5R32,25,62,1,d,d
D5R32,25,63,1,d,d
D5R32,25,64,1,d,d
D5R32,25,64,2,d,d
D5R32,25,64,3,d,d
D5R32,25,64,4,d,d
D5R32,25,64,5,d,d
D5R32,25,65,1,d,d
D5R32,25,66,1,d,d
D5R32,25,67,1,d,d
D5R32,25,67,2,d,d
D5R32,25,68,1,d,d
D5R32,25,69,1,d,d
D5R32,25,69,2,d,d
D5R32,25,70,1,d,d
D5R32,25,70,2,d,d
D5R32,25,70,3,d,d
D5R32,25,71,1,d,d
D5R32,25,71,2,d,d
D5R32,26,59,1,d,d
D5R32,26,59,2,d,d
D5R32,26,60,1,d,d
D5R32,26,61,1,d,d
D5R32,26,61,2,d,d
D5R32,26,62,1,d,d
D5R32,26,63,1,d,d
D5R32,26,64,1,d,d
D5R32,26,64,2,d,d
D5R32,26,64,3,d,d
D5R32,26,64,4,d,d
D5R32,26,64,5,d,d
D5R32,26,65,1,d,d
D5R32,26,66,1,d,d
D5R32,26,67,1,d,d
D5R32,26,67,2,d,d
D5R32,26,68,1,d,d
D5R32,26,69,1,d,d
D5R32,26,69,2,d,d
D5R32,26,70,1,d,d
D5R32,26,70,2,d,d
D5R32,26,70,3,d,d
D5R32,26,71,1,d,d
D5R32,26,71,2,d,d
D5R32,27,59,1,d,d
D5R32,27,59,2,d,d
D5R32,27,60,1,d,d
D5R32,27,61,1,c,d
D5R32,27,61,2,d,d
D5R32,27,62,1,d,d
D5R32,27,63,1,d,d
D5R32,27,64,1,d,d
D5R32,27,64,2,d,d
D5R32,27,64,3,d,d
D5R32,27,64,4,d,d
D5R32,27,64,5,d,d
D5R32,27,65,1,d,d
D5R32,27,66,1,d,d
D5R32,27,67,1,d,d
D5R32,27,67,2,d,d
D5R32,27,68,1,d,d
D5R32,27,69,1,d,d
D5R32,27,69,2,d,d
D5R32,27,70,1,d,d
D5R32,27,70,2,d,d
D5R32,27,70,3,d,d
D5R32,27,71,1,d,d
D5R32,27,71,2,d,d
D5R32,28,59,1,d,d
D5R32,28,59,2,d,d
D5R32,28,60,1,d,d
D5R32,28,61,1,d,d
D5R32,28,61,2,d,d
D5R32,28,62,1,d,d
D5R32,28,63,1,d,d
D5R32,28,64,1,d,d
D5R32,28,64,2,d,d
D5R32,28,64,3,d,d
D5R32,28,64,4,d,d
D5R32,28,64,5,d,d
D5R32,28,65,1,d,d
D5R32,28,66,1,d,d
D5R32,28,67,1,d,d
D5R32,28,67,2,d,d
D5R32,28,68,1,d,d
D5R32,28,69,1,d,d
D5R32,28,69,2,d,d
D5R32,28,70,1,d,d
D5R32,28,70,2,d,d
D5R32,28,70,3,d,d
D5R32,28,71,1,d,d
D5R32,28,71,2,d,d
D5R32,29,55,1,d,d
D5R32,29,56,1,d,d
D5R32,29,57,1,d,d
D5R32,29,57,2,d,d
D5R32,29,58,1,d,d
D5R32,29,58,2,d,d
D5R32,29,59,1,d,d
D5R32,29,59,2,d,d
D5R32,29,59,3,d,d
D5R32,30,55,1,d,d
D5R32,30,56,1,d,d
D5R32,30,57,1,d,d
D5R32,30,57,2,d,d
D5R32,30,58,1,d,d
D5R32,30,58,2,d,d
D5R32,30,59,1,d,d
D5R32,30,59,2,d,d
D5R32,30,59,3,d,d
D5R32,31,55,1,d,d
D5R32,31,56,1,d,d
D5R32,31,57,1,d,d
D5R32,31,57,2,d,d
D5R32,31,58,1,d,d
D5R32,31,58,2,d,d
D5R32,31,59,1,d,d
D5R32,31,59,2,d,d
D5R32,31,59,3,d,d
D5R32,32,55,1,d,d
D5R32,32,56,1,d,d
D5R32,32,57,1,d,d
D5R32,32,57,2,d,d
D5R32,32,58,1,d,d
D5R32,32,58,2,d,d
D5R32,32,59,1,d,d
D5R32,32,59,2,d,d
D5R32,32,59,3,d,d
D5R32,33,55,1,d,d
D5R32,33,56,1,d,d
D5R32,33,57,1,d,d
D5R32,33,57,2,d,d
D5R32,33,58,1,d,d
D5R32,33,58,2,d,d
D5R32,33,59,1,d,d
D5R32,33,59,2,d,d
D5R32,33,59,3,d,d
D5R32,34,55,1,d,d
D5R32,34,56,1,d,d
D5R32,34,57,1,d,d
D5R32,34,57,2,d,d
D5R32,34,58,1,d,d
D5R32,34,58,2,d,d
D5R32,34,59,1,d,d
D5R32,34,59,2,d,d
D5R32,34,59,3,d,d
D5R32,35,55,1,d,d
D5R32,35,56,1,c,d
D5R32,35,57,1,d,d
D5R32,35,57,2,d,d
D5R32,35,58,1,d,d
D5R32,35,58,2,d,d
D5R32,35,59,1,d,d
D5R32,35,59,2,d,d
D5R32,35,59,3,d,d
D5R32,36,55,1,d,d
D5R32,36,56,1,d,d
D5R32,36,57,1,d,d
D5R32,36,57,2,d,d
D5R32,36,58,1,d,d
D5R32,36,58,2,d,d
D5R32,36,59,1,d,d
D5R32,36,59,2,d,d
D5R32,36,59,3,d,d
D5R32,37,55,1,d,d
D5R32,37,56,1,d,d
D5R32,37,57,1,d,d
D5R32,37,57,2,d,d
D5R32,37,58,1,d,d
D5R32,37,58,2,d,d
D5R32,37,59,1,d,d
D5R32,37,59,2,d,d
D5R32,37,59,3,d,d
D5R32,38,55,1,d,d
D5R32,38,56,1,d,d
D5R32,38,57,1,d,d
D5R32,38,57,2,d,d
D5R32,38,58,1,d,d
D5R32,38,58,2,d,d
D5R32,38,59,1,d,d
D5R32,38,59,2,d,d
D5R32,38,59,3,d,d
D5R32,39,55,1,d,d
D5R32,39,56,1,d,c
D5R32,39,57,1,d,d
D5R32,39,57,2,d,d
D5R32,39,58,1,c,d
D5R32,39,58,2,d,d
D5R32,39,59,1,d,d
D5R32,39,59,2,d,d
D5R32,39,59,3,d,d
D5R32,40,55,1,d,d
D5R32,40,56,1,d,d
D5R32,40,57,1,c,d
D5R32,40,57,2,d,d
D5R32,40,58,1,d,d
D5R32,40,58,2,d,d
D5R32,40,59,1,d,d
D5R32,40,59,2,d,d
D5R32,40,59,3,d,d
D5R32,41,55,1,d,d
D5R32,41,56,1,d,d
D5R32,41,57,1,d,c
D5R32,41,57,2,d,d
D5R32,41,58,1,d,c
D5R32,41,58,2,d,d
D5R32,41,59,1,d,d
D5R32,41,59,2,d,d
D5R32,41,59,3,d,d
D5R32,42,55,1,d,d
D5R32,42,56,1,d,d
D5R32,42,57,1,d,d
D5R32,42,57,2,d,d
D5R32,42,58,1,d,d
D5R32,42,58,2,d,d
D5R32,42,59,1,d,d
D5R32,42,59,2,d,d
D5R32,42,59,3,d,d
D5R32,43,55,1,d,d
D5R32,43,56,1,d,d
D5R32,43,57,1,d,d
D5R32,43,57,2,d,d
D5R32,43,58,1,d,d
D5R32,43,58,2,d,d
D5R32,43,59,1,d,d
D5R32,43,59,2,d,d
D5R32,43,59,3,d,d
D5R32,44,55,1,d,d
D5R32,44,56,1,d,d
D5R32,44,57,1,d,d
D5R32,44,57,2,d,d
D5R32,44,58,1,d,d
D5R32,44,58,2,d,d
D5R32,44,59,1,d,d
D5R32,44,59,2,d,d
D5R32,44,59,3,d,d
D5R40,45,59,1,d,d
D5R40,45,59,2,c,d
D5R40,45,59,3,c,d
D5R40,45,60,1,d,d
D5R40,45,60,2,d,c
D5R40,45,60,3,c,d
D5R40,45,61,1,d,d
D5R40,45,61,2,c,d
D5R40,45,61,3,d,c
D5R40,45,62,1,c,d
D5R40,45,63,1,d,d
D5R40,45,63,2,d,d
D5R40,45,63,3,c,d
D5R40,45,63,4,d,c
D5R40,45,64,1,d,c
D5R40,45,65,1,d,d
D5R40,45,65,2,c,d
D5R40,45,66,1,d,d
D5R40,45,66,2,c,d
D5R40,45,66,3,d,c
D5R40,45,66,4,c,d
D5R40,45,66,5,d,c
D5R40,45,67,1,d,c
D5R40,45,67,2,c,d
D5R40,45,67,3,d,c
D5R40,45,68,1,c,d
D5R40,45,68,2,d,d
D5R40,45,69,1,d,c
D5R40,45,69,2,c,c
D5R40,45,69,3,d,c
D5R40,45,69,4,c,d
D5R40,45,70,1,d,d
D5R40,45,70,2,c,c
D5R40,45,71,1,c,d
D5R40,45,72,1,c,d
D5R40,45,72,2,c,d
D5R40,45,72,3,d,d
D5R40,46,59,1,d,d
D5R40,46,59,2,d,c
D5R40,46,59,3,d,c
D5R40,46,60,1,d,d
D5R40,46,60,2,d,c
D5R40,46,60,3,d,c
D5R40,46,61,1,d,d
D5R40,46,61,2,d,c
D5R40,46,61,3,d,c
D5R40,46,62,1,d,c
D5R40,46,63,1,d,d
D5R40,46,63,2,d,d
D5R40,46,63,3,d,d
D5R40,46,63,4,d,d
D5R40,46,64,1,d,d
D5R40,46,65,1,d,d
D5R40,46,65,2,d,d
D5R40,46,66,1,d,c
D5R40,46,66,2,d,d
D5R40,46,66,3,d,d
D5R40,46,66,4,d,d
D5R40,46,66,5,d,d
D5R40,46,67,1,d,c
D5R40,46,67,2,d,d
D5R40,46,67,3,d,d
D5R40,46,68,1,d,d
D5R40,46,68,2,d,d
D5R40,46,69,1,d,c
D5R40,46,69,2,d,d
D5R40,46,69,3,d,d
D5R40,46,69,4,d,d
D5R40,46,70,1,d,d
D5R40,46,70,2,d,d
D5R40,46,71,1,d,c
D5R40,46,72,1,d,d
D5R40,46,72,2,d,d
D5R40,46,72,3,d,c
D5R40,47,59,1,d,d
D5R40,47,59,2,c,d
D5R40,47,59,3,c,c
D5R40,47,60,1,d,d
D5R40,47,60,2,c,d
D5R40,47,60,3,c,d
D5R40,47,61,1,d,d
D5R40,47,61,2,c,d
D5R40,47,61,3,c,d
D5R40,47,62,1,d,d
D5R40,47,63,1,d,d
D5R40,47,63,2,c,d
D5R40,47,63,3,c,d
D5R40,47,63,4,d,d
D5R40,47,64,1,d,d
D5R40,47,65,1,d,c
D5R40,47,65,2,c,c
D5R40,47,66,1,d,d
D5R40,47,66,2,c,d
D5R40,47,66,3,c,d
D5R40,47,66,4,d,d
D5R40,47,66,5,d,d
D5R40,47,67,1,d,d
D5R40,47,67,2,c,d
